Timebase,RefCh1,Sen1Ch1,Sen2Ch1,RefCh2,Sen1Ch2,Sen2Ch2,RefCh3,Sen1Ch3,Sen2Ch3,RefCh4,Sen1Ch4,Sen2Ch4,RefCh5,Sen1Ch5,Sen2Ch5,RefCh6,Sen1Ch6,Sen2Ch6,RefCh7,Sen1Ch7,Sen2Ch7,Flow1,Flow2,FlowC,Pressure(Pa),Temperature(°C),BB(%),ContTemp,SupplyTemp,Status,ContStatus,DetectStatus,LedStatus,ValveStatus,LedTemp,BC11,BC12,BC1,BC21,BC22,BC2,BC31,BC32,BC3,BC41,BC42,BC4,BC51,BC52,BC5,BC61,BC62,BC6,BC71,BC72,BC7,K1,K2,K3,K4,K5,K6,K7,TapeAdvCount,DateTime,Timeread
60,925203,540718,720730,922583,620870,777233,913501,627571,777148,882626,640202,769422,843306,717845,848390,658533,804511,892046,715954,812518,896863,3722,1273,4995,101325,21.11,4.3,35,40,65536,0,10,10,0,35,13,7,19,13,20,18,26,40,34,12,-32,16,32,48,39,20,64,23,15,48,17,0.007881889,0.008121844,0.008376782,0.008737393,0.008665347,0.007378101,0.007361233,84,2022-05-30 00:26:00,2022-05-30 00:00:00
60,925282,540741,720777,922678,620918,777301,913567,627597,777197,882788,640295,769554,843373,717892,848458,658614,804587,892156,716031,812593,896953,3720,1275,4995,101325,21.11,0.0,35,40,65536,0,10,10,0,35,32,44,46,24,43,33,32,28,42,46,42,58,19,-3,23,51,-2,57,29,40,33,0.007882053,0.008122262,0.0083766,0.008737183,0.008664401,0.007374511,0.007362024,84,2022-05-30 00:27:00,2022-05-30 00:00:00
60,925297,540722,720771,922671,620880,777274,913563,627573,777187,882810,640283,769559,843404,717895,848479,658611,804568,892134,716020,812566,896945,3720,1275,4995,101325,21.11,24.3,35,41,65536,0,10,10,0,35,26,30,37,33,58,44,18,-3,23,39,21,50,34,25,41,37,89,42,32,-21,35,0.007882228,0.008122722,0.008376188,0.008737499,0.008664449,0.007379382,0.007356784,84,2022-05-30 00:29:00,2022-05-30 00:00:00
60,925199,540650,720680,922588,620808,777210,913499,627508,777119,882666,640165,769433,843307,717803,848384,658533,804458,892032,715948,812474,896844,3721,1274,4995,101325,21.11,21.4,35,39,65536,0,10,10,0,35,20,44,30,25,-21,33,35,53,46,25,2,32,17,-12,21,32,-21,37,24,67,27,0.007882599,0.008121533,0.008376667,0.00873664,0.008663112,0.007375441,0.007359974,84,2022-05-30 00:30:00,2022-05-30 00:00:00
60,925274,540675,720720,922644,620822,777241,913552,627527,777154,882787,640245,769533,843361,717824,848422,658598,804523,892113,716004,812520,896911,3721,1274,4995,101325,21.11,4.7,35,41,65536,0,10,10,0,35,26,56,38,36,58,49,29,40,38,14,25,18,46,75,57,32,41,36,41,20,46,0.007883061,0.008121987,0.00837694,0.008736989,0.008664317,0.007376078,0.007358445,84,2022-05-30 00:31:00,2022-05-30 00:00:00
60,925253,540646,720702,922629,620801,777219,913537,627502,777136,882798,640238,769526,843366,717822,848422,658581,804489,892092,716019,812519,896907,3722,1273,4995,101325,21.11,0.0,35,37,65536,0,10,10,0,35,23,5,33,17,33,22,25,21,32,28,75,35,12,23,14,29,-12,33,42,142,48,0.00788271,0.008122361,0.008376762,0.008738597,0.008664796,0.007373163,0.007365889,84,2022-05-30 00:32:00,2022-05-30 00:00:00
60,925222,540617,720668,922627,620780,777207,913535,627491,777127,882803,640234,769543,843357,717798,848409,658579,804478,892076,716007,812498,896899,3719,1277,4996,101325,21.11,100.0,35,41,65536,0,10,10,0,35,15,30,22,30,37,40,16,29,21,14,-57,18,30,18,37,19,77,21,17,-44,20,0.007882921,0.008122427,0.008377085,0.008736044,0.008664195,0.007377325,0.007361333,84,2022-05-30 00:33:00,2022-05-30 00:00:00
60,925250,540608,720671,922614,620761,777195,913561,627498,777139,882814,640231,769540,843356,717795,848409,658586,804463,892075,716022,812503,896906,3721,1275,4996,101325,21.11,0.0,35,38,65536,0,10,10,0,35,35,57,51,16,4,21,18,40,24,20,57,26,4,-5,5,52,61,59,28,74,32,0.007883254,0.008122138,0.008377737,0.008737324,0.008663832,0.007377971,0.007364708,84,2022-05-30 00:34:00,2022-05-30 00:00:00
60,925235,540568,720648,922624,620733,777177,913529,627444,777091,882838,640229,769550,843361,717761,848389,658575,804442,892054,715992,812440,896856,3720,1274,4994,101325,21.11,0.0,35,38,65536,0,10,10,0,35,20,48,30,22,69,30,34,92,45,3,-4,4,40,87,49,23,21,27,38,82,43,0.007883012,0.008123005,0.008378479,0.008737725,0.008665648,0.007379085,0.00736541,84,2022-05-30 00:36:00,2022-05-30 00:00:00
60,925194,540530,720610,922585,620691,777140,913510,627414,777085,882795,640182,769505,843342,717741,848377,658528,804366,891988,715947,812392,896813,3721,1275,4996,101325,21.11,0.0,35,41,65536,0,10,10,0,35,19,18,28,24,15,32,28,-40,37,29,34,37,7,-33,9,41,14,46,-7,-83,-8,0.007882952,0.008122711,0.008376289,0.00873782,0.008663858,0.007377179,0.007359659,84,2022-05-30 00:37:00,2022-05-30 00:00:00
